"ts","ts_end","ts_delta","srcip","srcport","dstip","conn_dir","bytes_vol","pkt_vol"
1475795223000,1475795282000,59000,854153670,39120,-1062729170,1,3701,23
1475795223000,1475795282000,59000,854153670,38667,-1062729170,0,3087,17
1475795223000,1475795282000,59000,854153670,58325,-1062729170,0,3087,17
1475795223000,1475795282000,59000,854153670,27253,-1062729170,0,3191,18
1475795223000,1475795342000,119000,854153670,60505,-1062729170,0,3087,17
1475795223000,1475795282000,59000,854153670,5224,-1062729170,0,3191,18
1475795223000,1475795282000,59000,854153670,54917,-1062729170,0,3151,18
1475795223000,1475795282000,59000,854153670,53283,-1062729170,0,3191,18
1475795223000,1475795282000,59000,854153670,59178,-1062729170,1,3637,22
1475795223000,1475795282000,59000,854153670,10309,-1062729170,1,3701,23
1475795223000,1475795282000,59000,854153670,13059,-1062729170,1,3637,22
1475795223000,1475795282000,59000,854153670,58325,-1062729170,1,3637,22
1475795223000,1475795282000,59000,854153670,39120,-1062729170,0,3191,18
1475795255000,1475795303000,48000,1607859387,60011,168428808,1,1671,13
1475795255000,1475795303000,48000,1607859387,60011,168428808,0,3143,11
1475795283000,1475795342000,59000,854153670,30990,-1062729170,0,3087,17
1475795283000,1475795342000,59000,854153670,64412,-1062729170,0,3087,17
1475795283000,1475795342000,59000,854153670,1500,-1062729170,0,3191,18
1475795283000,1475795342000,59000,854153670,7774,-1062729170,0,3087,17
1475795283000,1475795342000,59000,854153670,48429,-1062729170,1,3637,22
1475795283000,1475795402000,119000,854153670,39475,-1062729170,1,3573,22
1475795283000,1475795342000,59000,854153670,19472,-1062729170,1,3637,22
1475795283000,1475795342000,59000,854153670,25960,-1062729170,0,3191,18
1475795283000,1475795342000,59000,854153670,22336,-1062729170,1,3637,22
1475795283000,1475795342000,59000,854153670,17849,-1062729170,1,3637,22
1475795283000,1475795342000,59000,854153670,15474,-1062729170,1,3637,22
1475795283000,1475795342000,59000,854153670,34456,-1062729170,1,3637,22
1475795283000,1475795342000,59000,854153670,25960,-1062729170,1,3701,23
1475795283000,1475795342000,59000,854153670,6871,-1062729170,0,3087,17
1475795283000,1475795342000,59000,854153670,1500,-1062729170,1,3701,23
1475795283000,1475795342000,59000,854153670,6871,-1062729170,1,3637,22
1475795283000,1475795342000,59000,854153670,22336,-1062729170,0,3087,17
1475795283000,1475795342000,59000,854153670,40924,-1062729170,0,3087,17
1475795283000,1475795342000,59000,854153670,10132,-1062729170,0,3087,17
1475795283000,1475795342000,59000,854153670,63414,-1062729170,0,3087,17
1475795283000,1475795342000,59000,854153670,16716,-1062729170,1,3637,22
1475795283000,1475795342000,59000,854153670,40924,-1062729170,1,3637,22
1475795283000,1475795342000,59000,854153670,17849,-1062729170,0,3087,17
1475795283000,1475795342000,59000,854153670,64412,-1062729170,1,3637,22
1475795283000,1475795342000,59000,854153670,30990,-1062729170,1,3637,22
1475795283000,1475795342000,59000,854153670,21707,-1062729170,1,3637,23
1475795283000,1475795342000,59000,854153670,9459,-1062729170,1,3637,22
1475795283000,1475795342000,59000,854153670,16716,-1062729170,0,3087,17
1475795283000,1475795402000,119000,854153670,39475,-1062729170,0,3087,17
1475795283000,1475795342000,59000,854153670,7774,-1062729170,1,3573,22
1475795283000,1475795342000,59000,854153670,15696,-1062729170,1,3637,22
1475795283000,1475795342000,59000,854153670,15474,-1062729170,0,3087,17
1475795283000,1475795342000,59000,854153670,63414,-1062729170,1,3637,22
1475795283000,1475795342000,59000,854153670,19472,-1062729170,0,3087,17
1475795283000,1475795342000,59000,854153670,9459,-1062729170,0,3087,17
1475795283000,1475795342000,59000,854153670,21707,-1062729170,0,3191,18
1475795283000,1475795342000,59000,854153670,10132,-1062729170,1,3637,22
1475795283000,1475795342000,59000,854153670,15696,-1062729170,0,3087,17
1475795283000,1475795342000,59000,854153670,48429,-1062729170,0,3087,17
1475795283000,1475795342000,59000,854153670,34456,-1062729170,0,3087,17
1475795343000,1475795402000,59000,854153670,64002,-1062729170,1,3637,22
1475795343000,1475795402000,59000,854153670,5729,-1062729170,0,3087,17
1475795343000,1475795402000,59000,854153670,19513,-1062729170,0,3191,18
1475795343000,1475795402000,59000,854153670,30278,-1062729170,0,3087,17
1475795343000,1475795402000,59000,854153670,33669,-1062729170,1,3637,22
1475795343000,1475795402000,59000,854153670,59324,-1062729170,1,3689,23
1475795343000,1475795402000,59000,854153670,43328,-1062729170,1,3637,22
1475795343000,1475795402000,59000,854153670,38463,-1062729170,1,3701,23
1475795343000,1475795402000,59000,854153670,59324,-1062729170,0,3087,17
1475795343000,1475795402000,59000,854153670,65211,-1062729170,0,3087,17
1475795343000,1475795402000,59000,854153670,41121,-1062729170,0,3087,17
1475795343000,1475795402000,59000,854153670,65211,-1062729170,1,3573,22
1475795343000,1475795402000,59000,854153670,33669,-1062729170,0,3087,17
1475795343000,1475795402000,59000,854153670,62210,-1062729170,0,3087,17
1475795343000,1475795402000,59000,854153670,24389,-1062729170,0,2671,12
1475795343000,1475795402000,59000,854153670,5729,-1062729170,1,3637,22
1475795343000,1475795402000,59000,854153670,30278,-1062729170,1,3637,22
1475795343000,1475795402000,59000,854153670,56430,-1062729170,0,3087,17
1475795343000,1475795402000,59000,854153670,47276,-1062729170,1,3637,22
1475795343000,1475795402000,59000,854153670,27172,-1062729170,1,3637,22
1475795343000,1475795402000,59000,854153670,64002,-1062729170,0,3087,17
1475795343000,1475795402000,59000,854153670,38500,-1062729170,1,3701,23
1475795343000,1475795402000,59000,854153670,43328,-1062729170,0,3087,17
1475795343000,1475795402000,59000,854153670,38500,-1062729170,0,3191,18
1475795343000,1475795402000,59000,854153670,41121,-1062729170,1,3573,22
1475795343000,1475795402000,59000,854153670,47276,-1062729170,0,3087,17
1475795343000,1475795402000,59000,854153670,37040,-1062729170,0,3603,21
1475795343000,1475795402000,59000,854153670,37040,-1062729170,1,4045,28
1475795343000,1475795402000,59000,854153670,38463,-1062729170,0,3191,18
1475795343000,1475795402000,59000,854153670,42012,-1062729170,0,3087,17
1475795343000,1475795402000,59000,854153670,19513,-1062729170,1,3701,23
1475795343000,1475795402000,59000,854153670,42012,-1062729170,1,3613,22
1475795343000,1475795402000,59000,854153670,27172,-1062729170,0,3087,17
1475795343000,1475795402000,59000,854153670,56430,-1062729170,1,3637,22
1475795343000,1475795402000,59000,854153670,62210,-1062729170,1,3613,22
1475795343000,1475795402000,59000,854153670,24389,-1062729170,1,3105,15
1475795403000,1475795462000,59000,854153670,16496,-1062729170,0,3191,19
1475795403000,1475795462000,59000,854153670,23414,-1062729170,1,3637,23
1475795403000,1475795462000,59000,854153670,32878,-1062729170,1,3637,22
1475795403000,1475795462000,59000,854153670,32160,-1062729170,1,3637,22
1475795403000,1475795462000,59000,854153670,35123,-1062729170,0,3191,18
1475795403000,1475795462000,59000,854153670,47910,-1062729170,0,3191,18
1475795403000,1475795462000,59000,854153670,24389,-1062729170,1,596,8
1475795403000,1475795462000,59000,854153670,24403,-1062729170,1,3637,22
1475795403000,1475795462000,59000,854153670,34704,-1062729170,0,3087,17
1475795403000,1475795462000,59000,854153670,24389,-1062729170,0,520,6
1475795403000,1475795462000,59000,854153670,62903,-1062729170,0,3087,17
1475795403000,1475795462000,59000,854153670,45350,-1062729170,1,3637,22
1475795403000,1475795462000,59000,854153670,32160,-1062729170,0,3087,17
1475795403000,1475795462000,59000,854153670,59422,-1062729170,0,3087,17
1475795403000,1475795462000,59000,854153670,16496,-1062729170,1,3637,22
1475795403000,1475795462000,59000,854153670,21921,-1062729170,1,3637,22
1475795403000,1475795462000,59000,854153670,47013,-1062729170,0,3087,17
1475795403000,1475795462000,59000,854153670,59042,-1062729170,0,3191,18
1475795403000,1475795462000,59000,854153670,3736,-1062729170,0,3191,18
1475795403000,1475795462000,59000,854153670,23414,-1062729170,0,3191,18
1475795403000,1475795462000,59000,854153670,47013,-1062729170,1,3637,22
1475795403000,1475795462000,59000,854153670,32878,-1062729170,0,3087,17
1475795403000,1475795462000,59000,854153670,47910,-1062729170,1,3701,23
1475795403000,1475795462000,59000,854153670,24403,-1062729170,0,3087,17
1475795403000,1475795462000,59000,854153670,59042,-1062729170,1,3701,23
1475795403000,1475795462000,59000,854153670,35123,-1062729170,1,3701,23
1475795403000,1475795462000,59000,854153670,61204,-1062729170,0,2671,12
1475795403000,1475795462000,59000,854153670,26639,-1062729170,1,3637,22
1475795403000,1475795462000,59000,854153670,1430,-1062729170,1,3637,22
1475795403000,1475795462000,59000,854153670,61204,-1062729170,1,3105,15
1475795403000,1475795462000,59000,854153670,59422,-1062729170,1,3637,22
1475795403000,1475795462000,59000,854153670,3736,-1062729170,1,3701,23
1475795403000,1475795462000,59000,854153670,62903,-1062729170,1,3637,22
1475795403000,1475795462000,59000,-1185039889,34917,-1062729170,1,1397,13
1475795403000,1475795462000,59000,854153670,34704,-1062729170,1,3637,22
1475795403000,1475795462000,59000,-1185039889,34917,-1062729170,0,2851,15
1475795403000,1475795462000,59000,854153670,1430,-1062729170,0,3087,17
1475795403000,1475795462000,59000,854153670,9156,-1062729170,1,3637,22
